Unidad Primaria de Muestreo,Vivienda seleccionada,Consecutivo del hogar en la vivienda,Consecutivo del residente habitual miembro del hogar,,Clave Llave única para cada migrante internacional delcalrado en el hogar en la base (UPM+VIV_SEL+HOGAR+N_REN),Clave única de identificación del hogar (UPM+VIV_SEL+ HOGAR),Clave única de identificación de la vivienda (UPM+VIV_SEL+HOGAR),Clave de Entidad Federativa de levantamiento de la información,Clave de tamaño de localidad,"P4.4 Cuando (NOMBRE) se fue la última vez, ¿vivía con ustedes?",P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?,P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otra entidad),P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otro país),P4.6 (NOMBRE) es hombre o mujer,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar?,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar? (Otro parentesco),"P4.8 La última vez que (NOMBRE) se fue, ¿cuántos años cumplidos tenía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía? (Otra entidad)",P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Mes),P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Año),P4.11 ¿A qué país se fue (NOMBRE) la última vez?,P4.11 ¿A qué país se fue (NOMBRE) la última vez? (Otro país),P4.12 ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)?,P4.12C ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)? (Otro estado),"P4.13 Cuando (NOMBRE) se fue la última vez, ¿qué tipo de documento llevaba?",P4.14 ¿Cuál fue el motivo principal por el que (NOMBRE) se fue la última vez?,P4.14A ¿Se fue a buscar trabajo? ¿Con trabajo?,,P4.15 ¿En qué país vive actualmente (NOMBRE)?,P4.15 ¿En qué país vive actualmente (NOMBRE)? (Otro país),P4.16 ¿En qué estado de EUA vive actualmente (NOMBRE)?,,"P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía?","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro estado)","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro país)",P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Mes),P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Año),P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó?,P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó? (Otro motivo),P4.20 (NOMBRE) actualmente forma parte de este hogar?,P4.20 Número de renglón en la lista de personas,Factor de expansión a nivel vivienda,"Tamaño de localidad, segunda agrupación","Tamaño de localidad, tercera agrupación",P4.8.AG1 Edad al emigrar ( grupos quinquenales),P4.8.AG2 Edad al emigrar por grandes grupos,Condición de tenencia de documento para ingresar a EUA,Condición de retorno a México,Duración de migración (en meses),Duración de migración (agrupado),Estrato sociodemográfico,Estrato de diseño muestral,Unidad Primaria de Muestreo
3005056,2,1,1,300506000000.0,300506000000.0,3005056021,300505602,Veracruz de Ignacio de la Llave,Localidad de 100 000 y más habitantes,Sí,En otro estado,Tamaulipas,,Hombre,Hija(o),,23,"Aquí, en este estado",,Marzo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,Texas,,,Agosto,2018.0,Falta de trabajo,,Sí,4.0,802,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,Retornó,5.0,Menos de un año,Medio bajo,536,14193
502432,1,1,1,50243201101.0,50243201101.0,502432011,50243201,Coahuila de Zaragoza,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Coahuila de Zaragoza,,Hombre,Jefa(e),,41,"Aquí, en este estado",,Abril,2018,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,2,,,,Otro país,,CANADA,Agosto,2018.0,Falta de trabajo,,Sí,1.0,266,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,,Retornó,4.0,Menos de un año,Medio alto,66,2244
2800226,5,1,1,280023000000.0,,2800226051,280022605,Tamaulipas,Localidad de 100 000 y más habitantes,Sí,En otro estado,San Luis Potosí,,Hombre,Esposa(o) o compañera(o),,43,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,VIRGINIA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,VIRGINIA,,,,,,,,,,259,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,493,12919
160141,14,1,1,16014114101.0,,160141141,16014114,Aguascalientes,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Otro,Hermana o hermano,62,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,OKLAHOMA,Permiso para residir,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,OKLAHOMA,,,,,,,,,,95,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,60 a 64 años,60 y más años,Con documento,No retornó,,,Medio bajo,12,512
3063379,17,1,1,306338000000.0,,3063379171,306337917,Veracruz de Ignacio de la Llave,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Veracruz de Ignacio de la Llave,,Hombre,Esposa(o) o compañera(o),,34,"Aquí, en este estado",,Abril,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,California,,,Junio,2018.0,Falta de trabajo,,No,,685,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,30 a 34 años,30 a 59 años,Con documento,Retornó,2.0,Menos de un año,Medio bajo,580,14401
1601926,1,1,1,160193000000.0,,1601926011,160192601,Michoacán de Ocampo,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Hombre,Esposa(o) o compañera(o),,39,"Aquí, en este estado",,Mayo,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,GEORGIA,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,GEORGIA,,,,,,,,,,407,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,Sin documento,No retornó,,,Medio bajo,280,7514
1201554,5,1,1,120155000000.0,,1201554051,120155405,Guerrero,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guerrero,,Hombre,Hija(o),,21,"Aquí, en este estado",,Febrero,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,KANSAS,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,KANSAS,,,,,,,,,,318,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Sin documento,No retornó,,,Bajo,197,5804
1201554,5,1,2,120155000000.0,,1201554051,120155405,Guerrero,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guerrero,,Mujer,Nuera/yerno,,24,"Aquí, en este estado",,Junio,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,KANSAS,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,KANSAS,,,,,,,,,,318,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Sin documento,No retornó,,,Bajo,197,5804
1000253,4,1,1,100025000000.0,,1000253041,100025304,Durango,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Jefa(e),,59,"Aquí, en este estado",,Febrero,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,135,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,55 a 59 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,159,4846
1000253,4,1,2,100025000000.0,,1000253041,100025304,Durango,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Durango,,Mujer,Esposa(o) o compañera(o),,55,"Aquí, en este estado",,Febrero,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,135,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,55 a 59 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,159,4846
1000253,4,1,3,100025000000.0,,1000253041,100025304,Durango,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Hija(o),,22,"Aquí, en este estado",,Febrero,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,135,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,159,4846
101471,5,1,1,10147105101.0,10147105107.0,101471051,10147105,Aguascalientes,Localidad de 100 000 y más habitantes,Sí,En otro estado,Zacatecas,,Hombre,Otro,Hermana o hermano,30,"Aquí, en este estado",,Diciembre,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,No sabe,Buscar trabajo o trabajar,,,2,,,,Texas,,,Agosto,2018.0,Reunirse con la familia,,Sí,7.0,115,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,30 a 34 años,30 a 59 años,No sabe,Retornó,20.0,De un año a 3 años,Alto,3,332
804201,4,1,1,80420104101.0,,804201041,80420104,Chihuahua,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Chihuahua,,Hombre,Nieta(o),,20,"Aquí, en este estado",,Marzo,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para residir,Estudiar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,333,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio alto,129,3714
804201,4,1,2,80420104102.0,,804201041,80420104,Chihuahua,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Chihuahua,,Hombre,Nieta(o),,20,"Aquí, en este estado",,Marzo,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para residir,Estudiar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,333,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio alto,129,3714
2500378,1,1,1,250038000000.0,250038000000.0,2500378011,250037801,Sinaloa,Localidad de 100 000 y más habitantes,Sí,En otro estado,Ciudad de México,,Hombre,Jefa(e),,23,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,NEVADA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,California,,,Junio,2018.0,Falta de trabajo,,Sí,1.0,412,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,Retornó,1.0,Menos de un año,Medio bajo,439,11589
1001714,1,1,1,100171000000.0,100171000000.0,1001714011,100171401,Durango,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Jefa(e),,44,En otro estado,Chihuahua,Marzo,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,Texas,,,Junio,2017.0,Falta de trabajo,,Sí,1.0,120,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,Con documento,Retornó,3.0,Menos de un año,Medio alto,163,5070
800662,4,1,1,80066204101.0,,800662041,80066204,Chihuahua,Localidad de 100 000 y más habitantes,Sí,En otro estado,Estado de México,,Mujer,Hija(o),,33,"Aquí, en este estado",,Febrero,2015,Otro país,REPUBLICA DE KENIA,,,,Otro motivo,,No sabe,2,,,,Otro país,,REPUBLICA DE KENIA,Noviembre,2016.0,Otro motivo,Otro motivo,No,,416,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,30 a 34 años,30 a 59 años,,Retornó,21.0,De un año a 3 años,Medio bajo,132,3504
2601808,2,1,1,260181000000.0,,2601808021,260180802,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Esposa(o) o compañera(o),,58,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,231,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,55 a 59 años,30 a 59 años,Con documento,No retornó,,,Medio alto,452,12197
2601808,2,1,2,260181000000.0,,2601808021,260180802,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Hija(o),,22,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,231,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio alto,452,12197
1103939,1,1,1,110394000000.0,,1103939011,110393901,Guanajuato,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Otro,Madre o padre,53,"Aquí, en este estado",,Septiembre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,618,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,50 a 54 años,30 a 59 años,Con documento,No retornó,,,Medio alto,174,5460
1103939,1,1,2,110394000000.0,,1103939011,110393901,Guanajuato,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guanajuato,,Mujer,Otro,Madre o padre,51,"Aquí, en este estado",,Septiembre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,618,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,50 a 54 años,30 a 59 años,Con documento,No retornó,,,Medio alto,174,5460
2501033,3,1,1,250103000000.0,250103000000.0,2501033031,250103303,Sinaloa,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sinaloa,,Hombre,Nieta(o),,19,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,ESTADO DE EEUU NO ESPECIFICADO,Visa de turista,Reunirse con la familia,,,2,,,,Otro estado,ESTADO DE EEUU NO ESPECIFICADO,,Agosto,2018.0,Reunirse con la familia,,Sí,4.0,242,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Con documento,Retornó,3.0,Menos de un año,Medio alto,434,11647
1104478,1,1,1,110448000000.0,110448000000.0,1104478011,110447801,Guanajuato,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Jefa(e),,38,"Aquí, en este estado",,Agosto,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Reunirse con la familia,,,2,,,,California,,,Junio,2016.0,Terminó estudios,,Sí,1.0,842,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,Con documento,Retornó,34.0,De un año a 3 años,Alto,175,5492
1104478,1,1,2,110448000000.0,110448000000.0,1104478011,110447801,Guanajuato,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guanajuato,,Mujer,Esposa(o) o compañera(o),,37,"Aquí, en este estado",,Agosto,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Reunirse con la familia,,,2,,,,California,,,Junio,2016.0,Terminó estudios,,Sí,2.0,842,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,Con documento,Retornó,34.0,De un año a 3 años,Alto,175,5492
1104478,1,1,3,110448000000.0,110448000000.0,1104478011,110447801,Guanajuato,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Mujer,Hija(o),,8,"Aquí, en este estado",,Agosto,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Es ciudadano(a) estadounidense,Estudiar,,,2,,,,California,,,Junio,2016.0,Terminó estudios,,Sí,4.0,842,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,05 a 09 años,00 a 17 años,Con documento,Retornó,34.0,De un año a 3 años,Alto,175,5492
